customer_id,name,gender,age,job_title,job_industry_category,past_3_years_bike_related_purchases,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation
1,Laraine Medendorp,Female,64,Executive Secretary,Health,93,Mass Customer,No,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10
2,Eli Bockman,Male,37,Administrative Officer,Financial Services,81,Mass Customer,No,Yes,16,6 Meadow Vale Court,2153,New South Wales,Australia,10
4,Talbot,Male,56,N/A,IT,33,Mass Customer,No,No,7,0 Holy Cross Court,4211,Queensland,Australia,9
5,Sheila-kathryn Calton,Female,40,Senior Editor,N/A,56,Affluent Customer,No,Yes,8,17979 Del Mar Point,2448,New South Wales,Australia,4
6,Curr Duckhouse,Male,51,N/A,Retail,35,High Net Worth,No,Yes,13,9 Oakridge Court,3216,Victoria,Australia,9
7,Fina Merali,Female,41,N/A,Financial Services,6,Affluent Customer,No,Yes,11,4 Delaware Trail,2210,New South Wales,Australia,9
8,Rod Inder,Male,55,Media Manager I,N/A,31,Mass Customer,No,No,7,49 Londonderry Lane,2650,New South Wales,Australia,4
9,Mala Lind,Female,44,Business Systems Development Analyst,Argiculture,97,Affluent Customer,No,Yes,8,97736 7th Trail,2023,New South Wales,Australia,12
11,Uriah Bisatt,Male,63,N/A,Property,99,Mass Customer,No,No,9,93405 Ludington Park,3044,Victoria,Australia,8
12,Sawyere Flattman,Male,23,Nuclear Power Engineer,Manufacturing,58,Mass Customer,No,No,8,44339 Golden Leaf Alley,4557,Queensland,Australia,4
13,Gabriele Norcross,Male,62,Developer I,Financial Services,38,High Net Worth,No,Yes,8,2 Sutherland Street,3799,Victoria,Australia,6
14,Rayshell Kitteman,Female,34,Account Executive,Financial Services,85,Affluent Customer,No,No,6,9 Mcbride Trail,2760,New South Wales,Australia,8
15,Erroll Radage,Male,17,Junior Executive,Manufacturing,91,Mass Customer,No,No,1,9861 New Castle Avenue,2428,New South Wales,Australia,9
16,Harlin Parr,Male,40,Media Manager IV,N/A,38,Mass Customer,No,Yes,18,52 Moland Street,3331,Victoria,Australia,4
17,Heath Faraday,Male,55,Sales Associate,N/A,57,Affluent Customer,No,Yes,15,82391 Kensington Lane,3058,Victoria,Australia,9
18,Marjie Neasham,Female,50,Professor,N/A,79,Affluent Customer,No,No,11,092 2nd Alley,2135,New South Wales,Australia,12
19,Sorcha Keyson,Female,16,Geological Engineer,Manufacturing,76,High Net Worth,No,No,1,59 Spaight Circle,2233,New South Wales,Australia,9
20,Basile Firth,Male,37,Project Manager,Manufacturing,72,Mass Customer,No,No,11,032 Bartelt Crossing,2444,New South Wales,Australia,8
21,Mile Cammocke,Male,37,Safety Technician I,Manufacturing,74,Affluent Customer,No,Yes,16,18 Jenna Center,2650,New South Wales,Australia,7
24,Kim Skpsey,Female,40,Research Assistant I,Argiculture,55,Mass Customer,No,Yes,15,3 Cordelia Plaza,2153,New South Wales,Australia,10
25,Geoff Assaf,Male,41,Accounting Assistant III,Financial Services,72,Mass Customer,No,Yes,21,28 5th Center,4413,Queensland,Australia,3
26,Trixi Ginnelly,Female,39,Editor,Financial Services,12,Mass Customer,No,Yes,16,52 Carey Alley,4740,Queensland,Australia,5
27,Garvin Klees,Male,39,Research Nurse,Health,37,Mass Customer,No,Yes,12,96 Texas Plaza,3218,Victoria,Australia,7
